Book ID,Book Name,Page Count,Author First Name,Author Last Name,Book Type
1,A Daughter of the Snows,199,Jack,London,Guide
2,"The Near East: 10,000 Years of History",298,Isaac,Asimov,Journals
3,The Cocoon: A Rest-Cure Comedy,90,Ruth,Stuart,Diaries
4,The Freakshow Murders,321,Frederic,Brown,Drama
5,"Pharaohs, Fellahs and Explorers",367,Amelia B.,Edwards,Guide
6,Hard Times,293,Charles,Dickens,Science fiction
7,A Modern Instance,222,William Dean,Howells,Diaries
8,The Real Mother Goose,88,Mother,Goose,Science fiction
9,A Thousand Miles Up the Nile,110,Amelia B.,Edwards,Art
10,Children of Blood and Bone,137,Titus,Lucretius,Journals
11,A pushcart at the curb,95,John,DosPassos,Science fiction
12,The Desert and the Sown,126,Mary Hallock,Foote,Diaries
13,Three Soldiers,223,John,DosPassos,History
14,The End of Eternity,168,Isaac,Asimov,Science fiction
15,Annie Kilburn,291,William Dean,Howells,Diaries
16,A Touch of Sun and Other Stories,141,Mary Hallock,Foote,Guide
17,Show Boat,151,Edna,Ferber,Art
18,The Call of the Wild,362,Jack,London,Art
19,My Mark Twain,339,William Dean,Howells,Guide
20,Broken Ties,134,Rabindranath,Tagore,Romance
21,Short Stories From American History,305,Albert,Blaisdell,Health
22,Mrs Rosie and the Priest,104,Givoanni,Boccaccio,Biographies
23,So Big,209,Edna,Ferber,Drama
24,Monsieur Maurice ,92,Amelia B.,Edwards,Health
25,The Master of Ballantrae,236,Robert Louis,Stevenson,Journals
26,The Unlived Life of Little Mary Ellen,99,Ruth,Stuart,Mystery
27,Mouse - The Last Train,184,Frederic,Brown,Biographies
28,Edith Bonham,122,Mary Hallock,Foote,Horror
29,Maybe Mother Goose,161,Mother,Goose,Biographies
30,The Noble Gases,321,Isaac,Asimov,Romance
31,Rainy Week,98,Eleanor Hallowell,Abbott,Horror
32,A Hazard of New Fortunes,144,William Dean,Howells,Action and Adventure
33,A Plot for Murder,108,Frederic,Brown,Journals
34,Nature,357,Ralph Waldo,Emerson,Health
35,Hickory Dickory Dock,326,Mother,Goose,Mystery
36,Big Fat Hen,232,Mother,Goose,Diaries
37,The Lone Star Ranger,328,Zane,Grey,Guide
38,The Great Fire of London,252,Samuel,Pepys,Guide
39,White Nights,265,Fyodor,Dostoevsky,Biographies
40,In a Glass Darkly,173,Joseph Sheridan,LeFanu,Guide
41,Fanny herself,248,Edna,Ferber,Diaries
42,Loaded,273,Frederic,Brown,Action and Adventure
43,A Foregone Conclusion,121,William Dean,Howells,Fantasy
44,The Hill of Dreams,175,Arthur,Machen,Mystery
45,Adventure,217,Jack,London,Health
46,A Tagore Reader,285,Rabindranath,Tagore,Action and Adventure
47,A Tale of Two Cities,331,Charles,Dickens,Journals
48,Dombey and Son,344,Charles,Dickens,Biographies
49,Famous Women,273,Givoanni,Boccaccio,Science fiction
50,"Rejection, The Ruling Spirit",358,Ellis,Butler,Satire
51,Little Dorrit,314,Charles,Dickens,Journals
52,The Four-Fifteen Express,201,Amelia B.,Edwards,Satire
53,Fairy Prince and Other Stories,306,Eleanor Hallowell,Abbott,Fantasy
54,Ten Tales from the Decameron,183,Givoanni,Boccaccio,Romance
55,The Double,372,Fyodor,Dostoevsky,Science
56,A Flight Of Swans,115,Rabindranath,Tagore,Health
57,The Phantom Coach,243,Amelia B.,Edwards,Science
58,The Game,209,Jack,London,Diaries
59,Rico and Wiseli,309,Johanna,Spyri,Health
60,The Shorter Pepys,276,Samuel,Pepys,Romance
61,My Life Had Stood a Loaded Gun ,278,Emily,Dickinson,Diaries
